running_id,10km,17km,gross_time,net_time
8616,00:40:57,01:11:23,01:27:43,01:27:34
8742,00:41:39,01:11:29,01:27:43,01:27:34
9115,00:40:31,01:10:56,01:27:37,01:27:34
4083,00:40:00,01:10:05,01:27:38,01:27:34
6729,00:40:55,01:10:56,01:27:43,01:27:37
9108,00:40:25,01:11:55,01:28:17,01:27:37
2134,00:42:00,01:11:42,01:27:56,01:27:37
390,00:41:13,01:11:00,01:27:57,01:27:39
8781,00:40:51,01:11:04,01:27:43,01:27:41
1503,00:39:53,01:10:38,01:28:02,01:27:51
2177,00:41:06,01:11:18,01:27:59,01:27:51
3655,00:40:10,01:11:01,01:28:00,01:27:52
6835,00:41:55,01:11:52,01:28:15,01:27:55
1463,00:42:41,01:12:28,01:28:22,01:27:58
7042,00:38:13,01:11:02,01:28:02,01:28:00
2466,00:40:37,01:11:17,01:28:17,01:28:02
6982,00:40:29,01:11:05,01:28:20,01:28:02
9068,00:41:03,01:11:30,01:29:00,01:28:06
5278,00:40:59,01:11:42,01:28:16,01:28:07
5277,00:40:44,01:11:44,01:28:13,01:28:07
1268,00:40:23,01:11:16,01:28:29,01:28:23
1090,00:42:06,01:11:53,01:29:14,01:28:23
1217,00:41:02,01:11:26,01:28:34,01:28:24
2755,00:41:54,01:12:11,01:28:45,01:28:26
3063,00:39:39,01:10:49,01:28:37,01:28:28
2222,00:41:44,01:11:51,01:28:44,01:28:29
8112,00:42:17,01:12:22,01:29:10,01:28:31
1625,00:41:27,01:12:02,01:28:56,01:28:34
4136,00:42:15,01:12:30,01:28:55,01:28:35
8259,00:41:34,01:11:45,01:28:57,01:28:36
6939,00:41:41,01:12:00,01:28:52,01:28:40
7584,00:42:00,01:12:23,01:28:52,01:28:40
5183,00:42:13,01:12:33,01:28:55,01:28:41
7441,00:41:41,01:11:52,01:29:01,01:28:41
8680,00:40:43,01:11:20,01:28:56,01:28:44
3085,00:42:32,01:12:52,01:29:13,01:28:47
8827,00:40:27,01:11:14,01:29:01,01:28:49
7367,00:42:02,01:12:25,01:29:10,01:28:50
8870,00:42:02,01:12:32,01:29:02,01:28:51
5622,00:41:42,01:12:12,01:29:04,01:28:53
2840,00:41:27,01:12:16,01:29:18,01:28:53
1627,00:41:52,01:12:16,01:29:02,01:28:57
5907,00:41:20,01:12:05,01:29:30,01:28:58
