running_id,10km,17km,gross_time,net_time
6784,00:41:24,01:10:50,01:26:53,01:26:43
5401,00:40:33,01:10:00,01:26:50,01:26:43
2578,00:40:34,01:10:27,01:27:04,01:26:48
3835,00:39:42,01:09:32,01:26:55,01:26:48
5172,00:40:45,01:10:34,01:27:03,01:26:52
3472,00:41:07,01:10:45,01:27:11,01:27:02
3193,00:40:20,01:10:06,01:27:13,01:27:03
10502,00:40:43,01:10:24,01:27:09,01:27:05
6055,00:41:05,01:10:33,01:27:26,01:27:05
7175,00:42:08,01:10:51,01:27:38,01:27:05
6185,00:42:08,01:10:51,01:27:39,01:27:06
1301,00:40:51,01:10:36,01:27:16,01:27:08
10754,00:40:55,01:10:52,01:27:13,01:27:11
2837,00:38:56,01:11:05,01:27:20,01:27:12
4790,00:41:51,01:11:26,01:27:42,01:27:14
10880,00:40:28,01:11:06,01:27:34,01:27:15
2866,00:41:42,01:11:22,01:27:33,01:27:16
2300,00:40:35,01:10:34,01:27:28,01:27:19
10387,00:40:15,01:10:19,01:27:29,01:27:21
2808,00:41:25,01:10:53,01:27:53,01:27:22
4030,00:41:30,01:11:13,01:27:50,01:27:22
6855,00:42:07,01:11:27,01:27:45,01:27:24
3186,00:40:39,01:10:43,01:27:35,01:27:26
1903,00:40:20,01:10:16,01:27:32,01:27:28
10178,00:39:55,01:10:27,01:27:40,01:27:30
7163,00:41:30,01:11:24,01:27:56,01:27:31
10279,00:40:43,01:10:45,01:33:51,01:27:32
4876,00:41:04,01:10:56,01:27:46,01:27:33
6282,00:40:42,01:10:45,01:27:42,01:27:38
1980,00:41:00,01:11:18,01:27:49,01:27:40
2440,00:42:32,01:11:40,01:28:36,01:27:44
5790,00:40:44,01:10:48,01:27:53,01:27:49
5735,00:39:27,01:09:36,01:27:52,01:27:50
1202,00:41:23,01:11:15,01:28:01,01:27:53
5289,00:41:18,01:11:12,01:28:06,01:27:55
1474,00:42:10,01:11:50,01:28:14,01:27:57
10472,00:41:26,01:11:23,01:28:22,01:27:57
5576,00:41:20,01:11:26,01:28:20,01:27:59
6609,00:41:38,01:11:16,01:28:05,01:28:02
5779,00:41:15,01:11:43,01:28:10,01:28:02
7296,00:39:20,01:10:18,01:28:30,01:28:03
437,00:41:31,01:11:42,01:28:24,01:28:04
10517,00:41:52,01:11:28,01:28:19,01:28:04
5079,00:41:52,01:11:59,01:28:28,01:28:08
10799,00:41:03,01:11:13,01:28:16,01:28:10
6625,00:41:57,01:11:46,01:28:36,01:28:13
1866,00:41:22,01:11:24,01:28:32,01:28:13
314,00:41:32,01:11:28,01:28:33,01:28:14
2839,00:41:14,01:11:20,01:28:34,01:28:24
1588,00:42:14,01:11:50,01:29:17,01:28:24
10732,00:41:07,01:11:09,01:28:31,01:28:25
7266,00:41:36,01:11:52,01:28:30,01:28:27
10322,00:43:23,01:12:25,01:28:56,01:28:27
3769,00:41:39,01:12:02,01:28:41,01:28:27
3724,00:41:58,01:11:53,01:29:42,01:28:27
5156,00:43:28,01:12:51,01:29:04,01:28:33
6385,00:41:58,01:12:01,01:28:59,01:28:36
469,00:41:09,01:11:12,01:28:50,01:28:37
1188,00:41:10,01:11:34,01:28:54,01:28:37
10573,00:41:56,01:11:57,01:28:50,01:28:37
5269,00:41:16,01:12:31,01:28:46,01:28:41
11010,00:40:43,01:11:19,01:28:57,01:28:42
5909,00:41:34,01:11:53,01:29:38,01:28:45
4937,00:42:04,01:12:03,01:29:03,01:28:46
10233,00:42:11,01:12:29,01:29:06,01:28:47
7291,00:41:47,01:12:00,01:29:17,01:28:51
2317,00:41:59,01:12:11,01:29:07,01:28:51
5764,00:42:14,01:12:27,01:29:06,01:28:51
10252,00:42:18,01:12:38,01:29:02,01:28:52
5522,00:41:44,01:12:04,01:29:17,01:28:54
1344,00:41:55,01:12:23,01:29:13,01:28:55
2028,00:42:21,01:12:17,01:29:44,01:28:55
10675,00:42:14,01:12:16,01:29:03,01:28:59
685,00:42:14,01:12:26,01:29:13,01:29:00
10017,00:42:37,01:13:01,01:29:23,01:29:01
