Unnamed: 0,name,gender,count,year
1071,Paul,M,397,1882
1072,Jim,M,396,1882
1074,Tom,M,390,1882
1084,Michael,M,321,1882
1100,Hugh,M,239,1882
1120,Marion,M,157,1882
1158,Norman,M,107,1882
1159,Jerry,M,105,1882
1181,Mark,M,90,1882
1183,Mike,M,89,1882
1186,Ellis,M,86,1882
1188,Aaron,M,85,1882
1220,Bruce,M,66,1882
1258,Andy,M,51,1882
1278,Don,M,46,1882
1282,Tony,M,46,1882
1288,Miles,M,44,1882
1307,Forrest,M,38,1882
1309,Vincent,M,38,1882
1341,Mary,M,30,1882
1552,Jules,M,13,1882
1576,Dora,M,12,1882
1598,Rodney,M,12,1882
1717,Young,M,9,1882
1761,May,M,8,1882
1796,Connie,M,7,1882
1854,Shelly,M,7,1882
1857,Tommy,M,7,1882
1977,Amon,M,5,1882
2008,Emmit,M,5,1882
2023,German,M,5,1882
2045,Julia,M,5,1882
2046,Kay,M,5,1882
2122,Wirt,M,5,1882
0,Mary,F,8012,1883
1,Anna,F,3306,1883
22,Mabel,F,1086,1883
33,Julia,F,875,1883
34,Helen,F,862,1883
43,Ada,F,778,1883
50,Dora,F,640,1883
52,Marie,F,622,1883
56,May,F,532,1883
70,Nancy,F,412,1883
85,Caroline,F,321,1883
99,Irene,F,260,1883
114,Marion,F,184,1883
117,Sara,F,183,1883
120,Rachel,F,174,1883
138,Maria,F,141,1883
141,Barbara,F,135,1883
145,Beatrice,F,126,1883
163,Sophie,F,103,1883
212,Lila,F,69,1883
237,Emilie,F,56,1883
278,John,F,40,1883
286,Claire,F,38,1883
311,Polly,F,33,1883
412,Donna,F,21,1883
521,Audrey,F,14,1883
528,Faye,F,14,1883
574,Melinda,F,12,1883
597,Jenny,F,11,1883
607,Robert,F,11,1883
656,Connie,F,9,1883
765,Edward,F,7,1883
770,Ellis,F,7,1883
864,Jesse,F,6,1883
865,Jessica,F,6,1883
868,Joyce,F,6,1883
917,Tom,F,6,1883
932,Arthur,F,5,1883
956,Elaine,F,5,1883
1046,Walter,F,5,1883
1054,John,M,8894,1883
1062,Robert,M,2334,1883
1064,Edward,M,2250,1883
1066,Walter,M,1705,1883
1067,Arthur,M,1591,1883
1074,Richard,M,649,1883
1081,Jesse,M,584,1883
1086,Sam,M,476,1883
1088,Alfred,M,457,1883
1089,Peter,M,450,1883
1091,Lewis,M,431,1883
1097,Tom,M,386,1883
1101,Paul,M,358,1883
1105,Jim,M,322,1883
1108,Michael,M,307,1883
1127,Hugh,M,215,1883
1140,Marion,M,163,1883
1172,Jerry,M,107,1883
1173,Norman,M,106,1883
1174,Aaron,M,105,1883
1195,Mark,M,91,1883
1221,Ellis,M,73,1883
1223,Mike,M,73,1883
1256,Don,M,54,1883
1269,Bruce,M,50,1883
1299,Andy,M,43,1883
1305,Vincent,M,43,1883
1310,Miles,M,42,1883
1345,Mary,M,32,1883
1346,Tony,M,32,1883
1386,Forrest,M,25,1883
1476,Jules,M,18,1883
1501,Anna,M,16,1883
1609,Young,M,12,1883
1640,Rodney,M,11,1883
1645,Tommy,M,11,1883
1711,Dora,M,9,1883
1790,Connie,M,7,1883
1818,Jimmy,M,7,1883
1905,Mabel,M,6,1883
1909,May,M,6,1883
1995,Emmit,M,5,1883
2015,Helen,M,5,1883
0,Mary,F,9217,1884
1,Anna,F,3860,1884
19,Mabel,F,1270,1884
32,Helen,F,986,1884
36,Julia,F,935,1884
43,Ada,F,854,1884
48,Marie,F,746,1884
50,Dora,F,720,1884
60,May,F,564,1884
67,Nancy,F,520,1884
77,Caroline,F,380,1884
94,Irene,F,324,1884
114,Rachel,F,230,1884
126,Sara,F,197,1884
127,Barbara,F,193,1884
128,Maria,F,190,1884
132,Marion,F,181,1884
135,Beatrice,F,167,1884
162,Sophie,F,120,1884
223,Lila,F,73,1884
268,Emilie,F,53,1884
280,Polly,F,48,1884
308,John,F,40,1884
341,Claire,F,33,1884
397,Audrey,F,25,1884
418,Faye,F,23,1884
428,Donna,F,22,1884
505,Connie,F,17,1884
511,Jenny,F,17,1884
570,Jesse,F,14,1884
571,Jessica,F,14,1884
695,Elena,F,10,1884
752,Edward,F,9,1884
859,Arthur,F,7,1884
901,Melinda,F,7,1884
910,Robert,F,7,1884
926,Walter,F,7,1884
939,Beth,F,6,1884
1067,Elaine,F,5,1884
1134,Paul,F,5,1884
1172,John,M,9388,1884
1181,Robert,M,2468,1884
1182,Edward,M,2439,1884
1184,Walter,M,1902,1884
1185,Arthur,M,1690,1884
1194,Richard,M,749,1884
1198,Jesse,M,670,1884
1204,Sam,M,533,1884
1205,Peter,M,524,1884
1208,Alfred,M,520,1884
1210,Lewis,M,476,1884
1216,Paul,M,422,1884
1218,Tom,M,394,1884
1222,Michael,M,373,1884
1226,Jim,M,346,1884
1244,Hugh,M,246,1884
1257,Marion,M,184,1884
1284,Norman,M,130,1884
1291,Jerry,M,121,1884
1313,Aaron,M,97,1884
1315,Mark,M,96,1884
1337,Mike,M,84,1884
1359,Ellis,M,73,1884
1398,Andy,M,55,1884
1409,Vincent,M,51,1884
1422,Don,M,47,1884
1439,Tony,M,41,1884
1440,Bruce,M,40,1884
1447,Miles,M,39,1884
1461,Forrest,M,36,1884
1464,Mary,M,36,1884
1571,Anna,M,20,1884
1629,Jules,M,17,1884
1712,Rodney,M,13,1884
1782,Young,M,11,1884
1843,Connie,M,9,1884
1970,Emmit,M,7,1884
1988,Jimmy,M,7,1884
1989,Julia,M,7,1884
2051,Dora,M,6,1884
2134,Tommy,M,6,1884
2210,Gregory,M,5,1884
2285,Tyler,M,5,1884
0,Mary,F,9128,1885
1,Anna,F,3994,1885
19,Mabel,F,1349,1885
27,Helen,F,1134,1885
31,Julia,F,1062,1885
41,Marie,F,885,1885
42,Ada,F,876,1885
48,Dora,F,776,1885
60,May,F,607,1885
66,Nancy,F,527,1885
77,Caroline,F,399,1885
81,Irene,F,376,1885
120,Sara,F,215,1885
121,Rachel,F,212,1885
125,Marion,F,198,1885
128,Barbara,F,195,1885
132,Beatrice,F,188,1885
137,Maria,F,175,1885
164,Sophie,F,125,1885
253,Lila,F,62,1885
255,Emilie,F,60,1885
283,Claire,F,49,1885
296,John,F,45,1885
310,Polly,F,43,1885
375,Faye,F,30,1885
380,Audrey,F,29,1885
405,Donna,F,26,1885
446,Connie,F,22,1885
528,Jenny,F,17,1885
563,Jesse,F,15,1885
691,Robert,F,11,1885
698,Arthur,F,10,1885
725,Melinda,F,10,1885
749,Beth,F,9,1885
860,Elena,F,7,1885
874,Joyce,F,7,1885
916,Walter,F,7,1885
980,Jessica,F,6,1885
986,Kay,F,6,1885
1022,Paul,F,6,1885
1085,Edward,F,5,1885
1197,John,M,8756,1885
1205,Robert,M,2322,1885
1207,Edward,M,2220,1885
1209,Walter,M,1808,1885
1211,Arthur,M,1516,1885
1222,Richard,M,672,1885
1227,Jesse,M,556,1885
1229,Peter,M,516,1885
1231,Sam,M,492,1885
1235,Alfred,M,446,1885
1238,Lewis,M,437,1885
1239,Paul,M,428,1885
1242,Jim,M,370,1885
1243,Michael,M,370,1885
1244,Tom,M,361,1885
1269,Hugh,M,257,1885
1299,Marion,M,141,1885
1312,Norman,M,118,1885
1315,Jerry,M,115,1885
1349,Aaron,M,88,1885
1355,Mike,M,84,1885
1365,Ellis,M,78,1885
1374,Mark,M,74,1885
1409,Bruce,M,56,1885
1413,Andy,M,55,1885
1424,Miles,M,52,1885
1436,Vincent,M,48,1885
1467,Mary,M,38,1885
1475,Forrest,M,36,1885
1478,Don,M,35,1885
1491,Tony,M,33,1885
1595,Anna,M,20,1885
1732,Jules,M,13,1885
1738,Rodney,M,13,1885
1836,Young,M,10,1885
1907,Claire,M,8,1885
1975,Connie,M,7,1885
1999,Julia,M,7,1885
2008,Mabel,M,7,1885
2025,Tommy,M,7,1885
2070,Helen,M,6,1885
2132,Ada,M,5,1885
2195,Gregory,M,5,1885
2229,Marie,M,5,1885
2235,May,M,5,1885
2291,Wirt,M,5,1885
0,Mary,F,9889,1886
1,Anna,F,4283,1886
19,Mabel,F,1422,1886
24,Helen,F,1267,1886
35,Julia,F,1061,1886
43,Marie,F,988,1886
45,Ada,F,915,1886
48,Dora,F,827,1886
63,May,F,602,1886
71,Nancy,F,492,1886
77,Irene,F,437,1886
91,Caroline,F,370,1886
112,Marion,F,273,1886
116,Sara,F,247,1886
129,Rachel,F,213,1886
132,Barbara,F,207,1886
136,Beatrice,F,192,1886
141,Maria,F,180,1886
151,Sophie,F,156,1886
248,Lila,F,69,1886
264,Claire,F,61,1886
265,Emilie,F,61,1886
274,Polly,F,58,1886
299,John,F,48,1886
356,Faye,F,36,1886
401,Donna,F,29,1886
423,Audrey,F,26,1886
480,Connie,F,21,1886
520,Melinda,F,19,1886
541,Beth,F,17,1886
561,Jenny,F,16,1886
567,Robert,F,16,1886
702,Edward,F,11,1886
705,Elena,F,11,1886
711,Jessica,F,11,1886
729,Walter,F,11,1886
835,Arthur,F,8,1886
880,Richard,F,8,1886
1033,Jesse,F,6,1886
1036,Kay,F,6,1886
1076,Paul,F,6,1886
1099,Tom,F,6,1886
1150,Elaine,F,5,1886
1282,John,M,9026,1886
1289,Robert,M,2443,1886
1292,Edward,M,2312,1886
1294,Walter,M,1880,1886
1295,Arthur,M,1656,1886
1304,Richard,M,720,1886
1311,Jesse,M,614,1886
1315,Sam,M,519,1886
1317,Alfred,M,480,1886
1319,Paul,M,466,1886
1323,Peter,M,437,1886
1324,Lewis,M,431,1886
1330,Jim,M,389,1886
1331,Tom,M,383,1886
1334,Michael,M,348,1886
1358,Hugh,M,227,1886
1369,Marion,M,182,1886
1378,Norman,M,161,1886
1399,Jerry,M,125,1886
1410,Mark,M,106,1886
1442,Aaron,M,86,1886
1444,Ellis,M,85,1886
1447,Mike,M,84,1886
1497,Don,M,61,1886
1508,Forrest,M,56,1886
1509,Bruce,M,55,1886
1523,Vincent,M,50,1886
1524,Andy,M,49,1886
1566,Miles,M,36,1886
1586,Mary,M,32,1886
1600,Tony,M,29,1886
1753,Anna,M,15,1886
1761,Emmit,M,15,1886
1785,Rodney,M,14,1886
1817,Tommy,M,13,1886
1927,Young,M,10,1886
2017,May,M,8,1886
2076,Gregory,M,7,1886
2089,Jules,M,7,1886
2090,Julia,M,7,1886
2123,Wirt,M,7,1886
2126,Ada,M,6,1886
2145,Connie,M,6,1886
2203,Mabel,M,6,1886
2274,Claire,M,5,1886
2367,Shelly,M,5,1886
0,Mary,F,9888,1887
1,Anna,F,4227,1887
17,Mabel,F,1494,1887
20,Helen,F,1405,1887
38,Julia,F,1043,1887
42,Marie,F,994,1887
44,Ada,F,910,1887
47,Dora,F,842,1887
60,May,F,648,1887
70,Nancy,F,511,1887
72,Irene,F,504,1887
83,Caroline,F,398,1887
115,Beatrice,F,262,1887
117,Marion,F,254,1887
125,Rachel,F,226,1887
128,Sara,F,214,1887
131,Barbara,F,204,1887
132,Maria,F,203,1887
165,Sophie,F,149,1887
243,Lila,F,74,1887
254,Emilie,F,67,1887
277,Claire,F,58,1887
285,John,F,56,1887
308,Polly,F,48,1887
329,Faye,F,42,1887
343,Audrey,F,39,1887
345,Donna,F,39,1887
489,Connie,F,21,1887
528,Jenny,F,18,1887
694,Beth,F,11,1887
702,Edward,F,11,1887
763,Jesse,F,10,1887
795,Arthur,F,9,1887
897,Jessica,F,8,1887
914,Melinda,F,8,1887
927,Robert,F,8,1887
970,Elena,F,7,1887
989,Joyce,F,7,1887
1020,Richard,F,7,1887
1067,Elaine,F,6,1887
1088,Kay,F,6,1887
1129,Peter,F,6,1887
1202,Forrest,F,5,1887
1306,John,M,8110,1887
1315,Edward,M,2125,1887
1316,Robert,M,2125,1887
1318,Walter,M,1704,1887
1319,Arthur,M,1489,1887
1330,Richard,M,622,1887
1331,Jesse,M,601,1887
1340,Alfred,M,468,1887
1344,Sam,M,463,1887
1345,Paul,M,449,1887
1348,Peter,M,421,1887
1353,Michael,M,345,1887
1354,Lewis,M,343,1887
1355,Jim,M,339,1887
1357,Tom,M,329,1887
1374,Hugh,M,250,1887
1410,Marion,M,131,1887
1418,Norman,M,119,1887
1436,Jerry,M,98,1887
1465,Aaron,M,78,1887
1472,Mark,M,76,1887
1480,Mike,M,73,1887
1493,Ellis,M,66,1887
1515,Andy,M,54,1887
1524,Vincent,M,52,1887
1542,Mary,M,47,1887
1546,Bruce,M,44,1887
1558,Tony,M,40,1887
1561,Don,M,39,1887
1579,Miles,M,35,1887
1587,Forrest,M,34,1887
1713,Tommy,M,18,1887
1794,Anna,M,13,1887
1848,Young,M,12,1887
1858,Connie,M,11,1887
1873,Jules,M,11,1887
1976,Rodney,M,9,1887
2058,Alfredo,M,7,1887
2076,Eliseo,M,7,1887
2128,Amon,M,6,1887
2180,Julia,M,6,1887
2228,Ada,M,5,1887
2274,Dora,M,5,1887
2311,Mabel,M,5,1887
2316,May,M,5,1887
2371,Wirt,M,5,1887
0,Mary,F,11754,1888
1,Anna,F,4982,1888
15,Helen,F,1847,1888
16,Mabel,F,1830,1888
37,Julia,F,1292,1888
39,Marie,F,1258,1888
45,Ada,F,1116,1888
53,Dora,F,898,1888
62,May,F,782,1888
65,Irene,F,722,1888
75,Nancy,F,582,1888
88,Caroline,F,458,1888
113,Marion,F,322,1888
115,Beatrice,F,316,1888
124,Sara,F,293,1888
128,Rachel,F,281,1888
134,Barbara,F,253,1888
137,Maria,F,239,1888
168,Sophie,F,171,1888
247,Lila,F,88,1888
269,Claire,F,73,1888
290,Emilie,F,65,1888
309,Polly,F,60,1888
319,Faye,F,56,1888
332,John,F,52,1888
373,Audrey,F,41,1888
403,Donna,F,37,1888
517,Jenny,F,24,1888
550,Connie,F,21,1888
556,Melinda,F,21,1888
590,Robert,F,19,1888
600,Jessica,F,18,1888
614,Carmela,F,17,1888
668,Elena,F,15,1888
768,Jesse,F,12,1888
815,Joyce,F,11,1888
911,Edward,F,9,1888
964,Arthur,F,8,1888
966,Beth,F,8,1888
1019,Richard,F,8,1888
1065,Elaine,F,7,1888
1179,Ellis,F,6,1888
1187,Forrest,F,6,1888
1211,Kay,F,6,1888
1376,Jim,F,5,1888
1449,Sam,F,5,1888
1466,Walter,F,5,1888
1474,John,M,9247,1888
1481,Robert,M,2814,1888
1484,Edward,M,2470,1888
1486,Walter,M,2040,1888
1487,Arthur,M,1710,1888
1499,Richard,M,772,1888
1505,Jesse,M,637,1888
1507,Sam,M,607,1888
1510,Alfred,M,536,1888
1511,Paul,M,529,1888
1514,Peter,M,498,1888
1519,Michael,M,466,1888
1522,Tom,M,416,1888
1523,Lewis,M,412,1888
1529,Jim,M,362,1888
1552,Hugh,M,253,1888
1578,Marion,M,162,1888
1581,Norman,M,156,1888
1608,Mark,M,115,1888
1636,Jerry,M,92,1888
1639,Aaron,M,90,1888
1658,Mike,M,81,1888
1679,Ellis,M,71,1888
1690,Vincent,M,67,1888
1696,Forrest,M,62,1888
1699,Andy,M,60,1888
1706,Tony,M,57,1888
1718,Don,M,50,1888
1721,Mary,M,50,1888
1735,Bruce,M,45,1888
1749,Miles,M,43,1888
1833,Anna,M,26,1888
1930,Jules,M,18,1888
2074,Rodney,M,12,1888
2104,May,M,11,1888
2171,Tommy,M,10,1888
2244,Emmit,M,8,1888
2265,Marie,M,8,1888
2426,Dora,M,6,1888
2459,Julia,M,6,1888
2462,Kay,M,6,1888
2478,Moe,M,6,1888
2502,Young,M,6,1888
2505,Ada,M,5,1888
2541,Connie,M,5,1888
2570,Gregory,M,5,1888
2574,Helen,M,5,1888
2576,Irene,M,5,1888
2582,Jimmy,M,5,1888
2631,Salvatore,M,5,1888
2644,Tyler,M,5,1888
0,Mary,F,11648,1889
1,Anna,F,5062,1889
15,Mabel,F,1947,1889
16,Helen,F,1909,1889
29,Marie,F,1436,1889
39,Julia,F,1201,1889
50,Ada,F,1005,1889
58,Dora,F,882,1889
62,Irene,F,737,1889
63,May,F,723,1889
83,Caroline,F,491,1889
85,Nancy,F,470,1889
107,Beatrice,F,352,1889
114,Marion,F,331,1889
129,Sara,F,286,1889
133,Rachel,F,266,1889
139,Barbara,F,246,1889
142,Maria,F,238,1889
171,Sophie,F,172,1889
216,Lila,F,113,1889
306,Claire,F,62,1889
309,Emilie,F,62,1889
311,Audrey,F,61,1889
331,Polly,F,56,1889
335,Faye,F,55,1889
345,John,F,52,1889
379,Donna,F,41,1889
485,Beth,F,26,1889
486,Connie,F,26,1889
581,Jenny,F,20,1889
632,Melinda,F,17,1889
662,Carmela,F,15,1889
703,Jesse,F,14,1889
713,Robert,F,14,1889
764,Edward,F,12,1889
773,Joyce,F,12,1889
812,Elena,F,11,1889
908,Arthur,F,9,1889
925,Jessica,F,9,1889
946,Walter,F,9,1889
966,Elaine,F,8,1889
1055,Ellis,F,7,1889
1063,Forrest,F,7,1889
1076,Kay,F,7,1889
1254,Sam,F,6,1889
1263,Tony,F,6,1889
1451,Richard,F,5,1889
1479,John,M,8548,1889
1487,Robert,M,2513,1889
1488,Edward,M,2299,1889
1491,Walter,M,1916,1889
1492,Arthur,M,1668,1889
1502,Richard,M,711,1889
1509,Jesse,M,576,1889
1513,Paul,M,556,1889
1518,Sam,M,486,1889
1519,Alfred,M,472,1889
1523,Peter,M,425,1889
1525,Lewis,M,414,1889
1528,Tom,M,379,1889
1529,Michael,M,377,1889
1536,Jim,M,328,1889
1556,Hugh,M,225,1889
1585,Marion,M,153,1889
1590,Norman,M,141,1889
1607,Jerry,M,110,1889
1624,Mark,M,101,1889
1636,Aaron,M,85,1889
1646,Ellis,M,80,1889
1664,Mike,M,72,1889
1678,Forrest,M,65,1889
1680,Vincent,M,65,1889
1684,Bruce,M,62,1889
1685,Don,M,62,1889
1720,Andy,M,45,1889
1721,Tony,M,45,1889
1740,Mary,M,41,1889
1780,Miles,M,33,1889
1849,Anna,M,23,1889
2009,Connie,M,13,1889
2046,Jules,M,12,1889
2150,Young,M,10,1889
2164,Dora,M,9,1889
2183,May,M,9,1889
2193,Rodney,M,9,1889
2197,Tommy,M,9,1889
2224,Helen,M,8,1889
2240,Marie,M,8,1889
2257,Shelly,M,8,1889
2267,Ada,M,7,1889
2272,Alfredo,M,7,1889
2302,Emmit,M,7,1889
2334,Mabel,M,7,1889
2337,Nancy,M,7,1889
2348,Salvatore,M,7,1889
2351,Tyler,M,7,1889
2400,Gregory,M,6,1889
2518,Jimmy,M,5,1889
2540,Moe,M,5,1889
0,Mary,F,12078,1890
1,Anna,F,5233,1890
11,Helen,F,2312,1890
16,Mabel,F,2058,1890
27,Marie,F,1563,1890
39,Julia,F,1275,1890
50,Ada,F,1074,1890
59,Irene,F,893,1890
61,Dora,F,883,1890
64,May,F,751,1890
83,Nancy,F,512,1890
93,Caroline,F,455,1890
97,Beatrice,F,417,1890
105,Marion,F,386,1890
123,Rachel,F,318,1890
136,Sara,F,262,1890
141,Maria,F,247,1890
146,Barbara,F,241,1890
167,Sophie,F,206,1890
221,Lila,F,120,1890
269,Audrey,F,85,1890
290,Claire,F,72,1890
303,Emilie,F,68,1890
328,Faye,F,59,1890
340,Polly,F,57,1890
343,John,F,56,1890
415,Connie,F,37,1890
448,Donna,F,33,1890
626,Jessica,F,18,1890
654,Jenny,F,17,1890
656,Joyce,F,17,1890
693,Beth,F,15,1890
765,Edward,F,13,1890
780,Melinda,F,13,1890
799,Elaine,F,12,1890
817,Robert,F,12,1890
822,Walter,F,12,1890
837,Elena,F,11,1890
890,Forrest,F,10,1890
901,Jesse,F,10,1890
950,Carmela,F,9,1890
1010,Arthur,F,8,1890
1040,Gwen,F,8,1890
1143,Jim,F,7,1890
1184,Sam,F,7,1890
1265,Gloria,F,6,1890
1422,Kay,F,5,1890
1486,Paul,F,5,1890
1514,Tony,F,5,1890
1534,John,M,8502,1890
1541,Robert,M,2541,1890
1544,Edward,M,2282,1890
1546,Walter,M,1905,1890
1547,Arthur,M,1610,1890
1558,Richard,M,744,1890
1564,Paul,M,607,1890
1566,Jesse,M,576,1890
1568,Alfred,M,549,1890
1574,Sam,M,489,1890
1578,Peter,M,410,1890
1581,Michael,M,394,1890
1584,Lewis,M,375,1890
1592,Tom,M,347,1890
1595,Jim,M,336,1890
1613,Hugh,M,219,1890
1641,Norman,M,156,1890
1649,Marion,M,137,1890
1670,Jerry,M,103,1890
1680,Aaron,M,96,1890
1702,Mark,M,83,1890
1703,Mike,M,83,1890
1723,Ellis,M,71,1890
1745,Don,M,61,1890
1746,Vincent,M,61,1890
1750,Bruce,M,59,1890
1755,Forrest,M,56,1890
1759,Andy,M,53,1890
1782,Miles,M,47,1890
1811,Tony,M,39,1890
1826,Mary,M,35,1890
1938,Anna,M,20,1890
1955,Rodney,M,19,1890
2065,Tommy,M,14,1890
2112,Gregory,M,12,1890
2114,Jules,M,12,1890
2152,Jimmy,M,11,1890
2210,Connie,M,9,1890
2248,Marie,M,9,1890
2323,Mabel,M,8,1890
2362,Dora,M,7,1890
2377,Helen,M,7,1890
2415,Young,M,7,1890
2439,Claire,M,6,1890
2513,Salvatore,M,6,1890
2532,Alfredo,M,5,1890
2538,Amon,M,5,1890
2563,Cedric,M,5,1890
2636,May,M,5,1890
2641,Moe,M,5,1890
2674,Shelly,M,5,1890
0,Mary,F,11703,1891
1,Anna,F,5099,1891
8,Helen,F,2417,1891
14,Mabel,F,2029,1891
27,Marie,F,1596,1891
42,Julia,F,1200,1891
50,Ada,F,975,1891
51,Irene,F,950,1891
57,Dora,F,870,1891
67,May,F,696,1891
82,Nancy,F,523,1891
90,Beatrice,F,485,1891
98,Marion,F,413,1891
99,Caroline,F,402,1891
133,Rachel,F,267,1891
137,Sara,F,260,1891
